region,month,NO2_umol_m2
Antique,2025-02-01,36.83630611965963
Antique,2025-03-01,37.06387957140858
Antique,2025-04-01,44.122548679212926
Antique,2025-05-01,47.241069966996726
Apayao,2018-06-01,45.24489772890839
Apayao,2018-07-01,56.1340322615814
Apayao,2018-08-01,52.25332278687532
Apayao,2018-09-01,48.558484697840655
Apayao,2018-10-01,50.569277215300666
Apayao,2018-11-01,45.86546333397736
Apayao,2018-12-01,45.22155699701308
Apayao,2019-01-01,43.35760580404563
Apayao,2019-02-01,48.26271342102274
Apayao,2019-03-01,53.11837668011491
Apayao,2019-04-01,59.44413221504373
Apayao,2019-05-01,58.12788393355535
Apayao,2019-06-01,59.478981657368834
Apayao,2019-07-01,52.9437808473576
Apayao,2019-08-01,48.9565903873976
Apayao,2019-09-01,44.49955916833119
Apayao,2019-10-01,43.1554696197118
Apayao,2019-11-01,38.97941689023962
Apayao,2019-12-01,37.80076969958095
Apayao,2020-01-01,39.14932415268652
Apayao,2020-02-01,38.383526943275015
Apayao,2020-03-01,49.65622827174877
Apayao,2020-04-01,52.33352707112744
Apayao,2020-05-01,53.1895168786948
Apayao,2020-06-01,50.49003251816975
Apayao,2020-07-01,48.96298802985442
Apayao,2020-08-01,48.195256703287754
Apayao,2020-09-01,47.062138806771294
Apayao,2020-10-01,43.782664952977065
Apayao,2020-11-01,44.407636411178856
Apayao,2020-12-01,45.292343493840846
Apayao,2021-01-01,41.71492278146139
Apayao,2021-02-01,42.98881191589215
Apayao,2021-03-01,52.264030891124335
Apayao,2021-04-01,60.871230716494246
Apayao,2021-05-01,61.804259499082605
Apayao,2021-06-01,58.073079326065
Apayao,2021-07-01,53.02035603003077
Apayao,2021-08-01,50.766829936949684
Apayao,2021-09-01,52.28356919029118
Apayao,2021-10-01,47.694819152366975
Apayao,2021-11-01,43.33561409839771
Apayao,2021-12-01,40.54495667142552
Apayao,2022-01-01,41.0271699999578
Apayao,2022-02-01,41.34625725643348
Apayao,2022-03-01,44.52893033727288
Apayao,2022-04-01,49.84013810846839
Apayao,2022-05-01,50.544187601875365
Apayao,2022-06-01,50.04444495009337
Apayao,2022-07-01,49.20088485185146
Apayao,2022-08-01,52.40112494206948
Apayao,2022-09-01,51.6654922391529
Apayao,2022-10-01,47.40587056039016
Apayao,2022-11-01,46.0025727147309
Apayao,2022-12-01,47.25067373900516
Apayao,2023-01-01,45.675541660918825
Apayao,2023-02-01,51.14048513074668
Apayao,2023-03-01,58.90532562334328
Apayao,2023-04-01,66.54855876645712
Apayao,2023-05-01,63.45292965252937
Apayao,2023-06-01,57.05904335821372
Apayao,2023-07-01,59.240610830578404
Apayao,2023-08-01,53.45509804063773
Apayao,2023-09-01,54.11292860257845
Apayao,2023-10-01,46.59686599757964
Apayao,2023-11-01,43.7109969005456
Apayao,2023-12-01,38.848722945972625
Apayao,2024-01-01,38.69029393856218
Apayao,2024-02-01,44.35604304114414
Apayao,2024-03-01,47.53521805271882
Apayao,2024-04-01,60.190035933722164
Apayao,2024-05-01,55.99356789235101
Apayao,2024-06-01,51.51994005310621
Apayao,2024-07-01,50.31335477598484
Apayao,2024-08-01,48.287795488906
Apayao,2024-09-01,51.439299868978466
Apayao,2024-10-01,48.61645651997236
Apayao,2024-11-01,43.75111404995474
Apayao,2024-12-01,40.78291257889767
Apayao,2025-01-01,43.43548203990235
Apayao,2025-02-01,42.93874018865233
Apayao,2025-03-01,49.71471660422789
Apayao,2025-04-01,59.38667141095077
Apayao,2025-05-01,57.96893020898649
Aurora,2018-06-01,52.58790806975568
Aurora,2018-07-01,55.03387442765272
Aurora,2018-08-01,50.13429861888853
Aurora,2018-09-01,52.06843640665549
Aurora,2018-10-01,48.72279898542684
Aurora,2018-11-01,41.643464849205394
Aurora,2018-12-01,45.59949258443973
Aurora,2019-01-01,39.29312644958509
Aurora,2019-02-01,41.997587043525954
Aurora,2019-03-01,45.88020000657964
Aurora,2019-04-01,49.892558595095906
Aurora,2019-05-01,58.358057820451464
Aurora,2019-06-01,56.73570342435273
Aurora,2019-07-01,52.805211399562964
Aurora,2019-08-01,49.35651561201478
Aurora,2019-09-01,43.25782909269608
Aurora,2019-10-01,40.80204303256837
Aurora,2019-11-01,37.87235748925131
Aurora,2019-12-01,35.09870144977497
Aurora,2020-01-01,34.6768188617856
Aurora,2020-02-01,34.5784144677756
Aurora,2020-03-01,40.86891984757737
Aurora,2020-04-01,44.64270348358038
Aurora,2020-05-01,50.27729896838161
Aurora,2020-06-01,47.89120528525134
Aurora,2020-07-01,46.9460350197937
Aurora,2020-08-01,46.31348448322905
Aurora,2020-09-01,43.6658299980745
Aurora,2020-10-01,42.492232951607875
Aurora,2020-11-01,44.277836445129935
Aurora,2020-12-01,41.4482349965535
Aurora,2021-01-01,38.42734088930572
Aurora,2021-02-01,40.25466676992793
Aurora,2021-03-01,46.00554366489109
Aurora,2021-04-01,54.15558368417652
Aurora,2021-05-01,55.157605366980135
Aurora,2021-06-01,57.14378266390904
Aurora,2021-07-01,52.3343626433468
Aurora,2021-08-01,48.9007520445085
Aurora,2021-09-01,48.30211782915708
Aurora,2021-10-01,44.28985565300156
Aurora,2021-11-01,41.38827923980664
Aurora,2021-12-01,38.13069204991708
Aurora,2022-01-01,38.15856082047611
Aurora,2022-02-01,36.27221000956324
Aurora,2022-03-01,40.03492976214835
Aurora,2022-04-01,42.15102301073588
Aurora,2022-05-01,46.67090040118166
Aurora,2022-06-01,46.42223975732218
Aurora,2022-07-01,45.79588769710626
Aurora,2022-08-01,45.82731072577333
Aurora,2022-09-01,50.096472524534235
Aurora,2022-10-01,45.92402632056249
Aurora,2022-11-01,42.8627937955926
Aurora,2022-12-01,44.46469279248777
Aurora,2023-01-01,41.35508020811256
Aurora,2023-02-01,43.363459120317756
Aurora,2023-03-01,49.85368692468117
Aurora,2023-04-01,57.577830039133715
Aurora,2023-05-01,61.792573778922076
Aurora,2023-06-01,54.15427653965901
Aurora,2023-07-01,53.48035143696895
Aurora,2023-08-01,51.17976423963833
Aurora,2023-09-01,48.03908889479152
Aurora,2023-10-01,44.00876679782529
Aurora,2023-11-01,40.22693139108559
Aurora,2023-12-01,33.70456694253087
Aurora,2024-01-01,34.399565893496444
Aurora,2024-02-01,40.46819403301008
Aurora,2024-03-01,40.01629874186462
