adm2_en,month,NO2,date
Maguindanao del Sur,2020-02,3.635385100974893E-5,2020-02-01T00:00:00
Davao de Oro,2020-03,3.3084276342682824E-5,2020-03-01T00:00:00
Davao Occidental,2020-03,3.302200519199711E-5,2020-03-01T00:00:00
Cotabato,2020-03,3.900950333517764E-5,2020-03-01T00:00:00
Maguindanao del Norte,2020-03,4.0199276276011325E-5,2020-03-01T00:00:00
Maguindanao del Sur,2020-03,4.141284352138228E-5,2020-03-01T00:00:00
Davao de Oro,2020-04,3.8288573652221994E-5,2020-04-01T00:00:00
Davao Occidental,2020-04,3.7519384191954384E-5,2020-04-01T00:00:00
Cotabato,2020-04,4.389473454455071E-5,2020-04-01T00:00:00
Maguindanao del Norte,2020-04,4.4910658066311874E-5,2020-04-01T00:00:00
Maguindanao del Sur,2020-04,4.682753214794549E-5,2020-04-01T00:00:00
Davao de Oro,2020-05,3.827089130144E-5,2020-05-01T00:00:00
Davao Occidental,2020-05,3.8906697975007906E-5,2020-05-01T00:00:00
Cotabato,2020-05,4.3418372899480205E-5,2020-05-01T00:00:00
Maguindanao del Norte,2020-05,4.2213158290496715E-5,2020-05-01T00:00:00
Maguindanao del Sur,2020-05,4.557562297879287E-5,2020-05-01T00:00:00
Davao de Oro,2020-06,4.026040768093054E-5,2020-06-01T00:00:00
Davao Occidental,2020-06,3.914934678145054E-5,2020-06-01T00:00:00
Cotabato,2020-06,4.276274640540465E-5,2020-06-01T00:00:00
Maguindanao del Norte,2020-06,4.2291394844626564E-5,2020-06-01T00:00:00
Maguindanao del Sur,2020-06,4.4271491292978796E-5,2020-06-01T00:00:00
Davao de Oro,2020-07,3.956013339421464E-5,2020-07-01T00:00:00
Davao Occidental,2020-07,3.835608308904688E-5,2020-07-01T00:00:00
Cotabato,2020-07,4.258371813374258E-5,2020-07-01T00:00:00
Maguindanao del Norte,2020-07,4.115618679076051E-5,2020-07-01T00:00:00
Maguindanao del Sur,2020-07,4.376971976808869E-5,2020-07-01T00:00:00
Davao de Oro,2020-08,4.081938840935582E-5,2020-08-01T00:00:00
Davao Occidental,2020-08,3.985736282302508E-5,2020-08-01T00:00:00
Cotabato,2020-08,4.255762399826386E-5,2020-08-01T00:00:00
Maguindanao del Norte,2020-08,4.114466774087507E-5,2020-08-01T00:00:00
Maguindanao del Sur,2020-08,4.3214764907600336E-5,2020-08-01T00:00:00
Davao de Oro,2020-09,4.003699816174512E-5,2020-09-01T00:00:00
Davao Occidental,2020-09,3.9367256262879716E-5,2020-09-01T00:00:00
Cotabato,2020-09,4.228599899737063E-5,2020-09-01T00:00:00
Maguindanao del Norte,2020-09,4.0030469290220265E-5,2020-09-01T00:00:00
Maguindanao del Sur,2020-09,4.311011971931379E-5,2020-09-01T00:00:00
Davao de Oro,2020-10,4.13174746857008E-5,2020-10-01T00:00:00
Davao Occidental,2020-10,3.964927965129923E-5,2020-10-01T00:00:00
Cotabato,2020-10,4.159472161625434E-5,2020-10-01T00:00:00
